transaction_id,account_id,transaction_date,transaction_type,amount,description,counterparty,location,method
TXN_CB16EDE3,CUST_0007_ACC_1,2025-04-23,Check_Deposit,632.8,Salary deposit,Johnson Ltd,,ATM
TXN_957790F1,CUST_0007_ACC_1,2025-02-12,ACH_Credit,3483.63,Education payment,,Branch_Suburban_Center,Mobile
TXN_D4F3E999,CUST_0007_ACC_1,2025-04-13,Direct_Deposit,585.41,Online purchase,,,Branch
TXN_2A425D1C,CUST_0007_ACC_1,2025-02-18,Wire_Transfer,1472.2,ATM withdrawal,White-Carlson,,Branch
TXN_01F94574,CUST_0007_ACC_1,2025-05-20,Direct_Deposit,4060.29,Restaurant,,,Electronic
TXN_1B936AC0,CUST_0007_ACC_1,2025-07-03,ACH_Credit,1861.5,Insurance payment,,,Online
TXN_81DF42D7,CUST_0007_ACC_1,2025-06-08,ACH_Debit,478.22,Medical payment,,,Mobile
TXN_C36ED1B3,CUST_0007_ACC_1,2025-05-24,Debit_Purchase,1734.29,Investment transfer,,,Electronic
TXN_6D05258E,CUST_0007_ACC_1,2025-03-31,ACH_Credit,2966.66,Salary deposit,,Branch_Northgate_Mall,Electronic
TXN_23D40E5E,CUST_0007_ACC_1,2025-06-30,Wire_Transfer,2883.1,Education payment,,,Branch
TXN_D7BC4649,CUST_0007_ACC_1,2025-06-11,Online_Transfer,2828.95,Mortgage payment,"Lamb, Miller and Livingston",,Online
TXN_09288A25,CUST_0008_ACC_1,2025-06-20,ACH_Credit,2881.06,Investment transfer,,,Electronic
TXN_688C912D,CUST_0008_ACC_1,2025-05-16,ACH_Credit,1795.81,Mortgage payment,,,Electronic
TXN_9C5ABE5A,CUST_0008_ACC_1,2025-02-19,Online_Transfer,2870.08,Salary deposit,"Mcdonald, Bryant and Cohen",Branch_Southpark_Ave,Electronic
TXN_261852C7,CUST_0008_ACC_1,2025-06-10,Online_Transfer,3396.47,Education payment,,,Online
TXN_FA5EF9CB,CUST_0008_ACC_1,2025-04-27,ACH_Debit,3184.83,Investment transfer,,,ATM
TXN_0602DBF3,CUST_0008_ACC_1,2025-03-16,Online_Transfer,1962.27,Investment transfer,,Branch_Eastside_Center,Electronic
TXN_A7A45304,CUST_0008_ACC_1,2025-03-15,ACH_Debit,4858.35,Bill payment,,,Branch
TXN_C97F28AD,CUST_0008_ACC_1,2025-07-07,ATM_Withdrawal,1830.25,Auto loan payment,,,Branch
TXN_C83A7C41,CUST_0008_ACC_1,2025-05-25,ATM_Withdrawal,1217.17,Online purchase,,,Electronic
TXN_95107BB5,CUST_0008_ACC_1,2025-07-17,ATM_Withdrawal,1285.99,Bill payment,White-Stark,,Mobile
TXN_1A127564,CUST_0008_ACC_1,2025-04-03,Check_Deposit,3007.49,Medical payment,,,Electronic
TXN_A8CCBD39,CUST_0008_ACC_1,2025-07-07,ACH_Credit,1379.72,Auto loan payment,,,ATM
TXN_3A85B7CF,CUST_0008_ACC_1,2025-04-02,ACH_Credit,1286.1,ATM withdrawal,Johnson-Alvarez,,Mobile
TXN_426BDF96,CUST_0008_ACC_1,2025-04-07,ACH_Debit,1199.38,Credit card payment,,,Mobile
TXN_7A7B6FC5,CUST_0008_ACC_1,2025-04-27,Debit_Purchase,1221.28,Credit card payment,,,Mobile
TXN_FA1472B4,CUST_0008_ACC_1,2025-03-05,Online_Transfer,937.2,Insurance payment,Munoz-Anderson,Branch_Financial_District,Mobile
TXN_487F9221,CUST_0008_ACC_1,2025-02-21,Online_Transfer,3435.09,Credit card payment,"Robles, Nguyen and Banks",,Electronic
TXN_7260C524,CUST_0008_ACC_1,2025-06-25,Online_Transfer,1197.48,Mortgage payment,,Branch_Eastside_Center,Branch
TXN_A3F260DD,CUST_0008_ACC_1,2025-05-09,Wire_Transfer,3268.48,Grocery purchase,,,Electronic
TXN_69ECE2B9,CUST_0008_ACC_1,2025-04-16,ATM_Withdrawal,2866.35,Insurance payment,,,Branch
TXN_0E602ECB,CUST_0008_ACC_1,2025-04-18,ATM_Withdrawal,3489.85,ATM withdrawal,"Sanchez, Moore and Olson",,Mobile
TXN_459CEA90,CUST_0008_ACC_1,2025-02-14,Direct_Deposit,1787.06,Restaurant,Cervantes PLC,,Online
TXN_B0306424,CUST_0008_ACC_1,2025-04-21,Online_Transfer,814.94,Mortgage payment,Bradley-Peterson,Branch_Airport_Terminal,Electronic
TXN_B138E6B3,CUST_0008_ACC_1,2025-06-07,Check_Deposit,2239.16,Utility bill,,,Electronic
TXN_18A6190D,CUST_0008_ACC_1,2025-03-06,Direct_Deposit,918.18,Gas station,"Miller, Galvan and Andrews",,Branch
TXN_564A4BF7,CUST_0008_ACC_1,2025-05-01,Debit_Purchase,424.79,Credit card payment,,,Branch
TXN_54B2A663,CUST_0008_ACC_1,2025-05-20,Check_Deposit,3577.11,Mortgage payment,,,Mobile
TXN_6C1D27D5,CUST_0008_ACC_1,2025-04-27,Direct_Deposit,105.59,Restaurant,,,Branch
TXN_F9486170,CUST_0008_ACC_1,2025-05-13,ACH_Debit,4226.77,Restaurant,,Branch_Eastside_Center,Branch
TXN_A725DCA4,CUST_0008_ACC_1,2025-06-30,Check_Deposit,3074.59,Bill payment,,,Branch
TXN_EA30446D,CUST_0008_ACC_1,2025-03-06,ACH_Debit,822.45,Medical payment,,,ATM
TXN_14C98925,CUST_0008_ACC_1,2025-07-25,ACH_Debit,2097.24,Restaurant,,,Online
TXN_45F4A5EB,CUST_0008_ACC_1,2025-02-15,Debit_Purchase,4235.63,Rent payment,Jennings PLC,,Branch
TXN_79019F29,CUST_0008_ACC_1,2025-06-21,Direct_Deposit,3858.34,Medical payment,,,Electronic
TXN_4C2BEE83,CUST_0008_ACC_1,2025-04-12,Direct_Deposit,4292.18,Auto loan payment,Newman-Brown,,ATM
TXN_C4FCFEF6,CUST_0008_ACC_1,2025-03-14,Wire_Transfer,1281.69,Auto loan payment,,,Electronic
TXN_2F53C75B,CUST_0008_ACC_1,2025-02-28,Wire_Transfer,3986.61,Salary deposit,,,ATM
TXN_9572F5EA,CUST_0008_ACC_1,2025-05-18,ACH_Credit,314.87,Salary deposit,,Branch_Southpark_Ave,Online
TXN_343B4E7B,CUST_0008_ACC_1,2025-06-18,Direct_Deposit,4712.02,Grocery purchase,Sherman Ltd,,Electronic
TXN_070BE96A,CUST_0009_ACC_1,2025-03-01,Check_Deposit,1297.43,Bill payment,"Carter, Gilbert and West",,Branch
TXN_BE449278,CUST_0009_ACC_1,2025-03-12,Check_Deposit,3978.13,Online purchase,,,Online
TXN_22362491,CUST_0009_ACC_1,2025-07-10,ATM_Withdrawal,256.26,Insurance payment,,Branch_Northgate_Mall,Branch
TXN_EF438F8E,CUST_0009_ACC_1,2025-03-28,Direct_Deposit,2495.87,Online purchase,,,ATM
TXN_EA7CA961,CUST_0009_ACC_1,2025-06-25,ACH_Debit,139.34,Grocery purchase,,,Electronic
TXN_BB961C79,CUST_0009_ACC_1,2025-06-05,ATM_Withdrawal,3016.7,Education payment,,,Electronic
TXN_8F3CE659,CUST_0009_ACC_1,2025-07-18,Check_Deposit,4612.72,Mortgage payment,Robbins-Herman,,ATM
TXN_70E478C1,CUST_0009_ACC_1,2025-07-31,ATM_Withdrawal,2122.51,Rent payment,"Smith, Downs and Powell",,ATM
TXN_061A8AA3,CUST_0009_ACC_1,2025-02-25,Check_Deposit,4358.75,Auto loan payment,,Branch_Financial_District,Online
TXN_53631DC1,CUST_0009_ACC_1,2025-03-27,Direct_Deposit,2421.83,Credit card payment,,,ATM
TXN_04511AB4,CUST_0009_ACC_1,2025-04-10,ACH_Debit,4993.52,Auto loan payment,,,Online
TXN_35187E40,CUST_0009_ACC_1,2025-05-12,Direct_Deposit,551.41,Mortgage payment,Smith PLC,,Online
TXN_FF2AB7D4,CUST_0009_ACC_1,2025-06-30,Wire_Transfer,386.03,Salary deposit,,,Branch
TXN_FDB10112,CUST_0009_ACC_1,2025-04-08,ACH_Debit,472.56,Bill payment,,Branch_Westside_Plaza,ATM
TXN_456B3C98,CUST_0009_ACC_1,2025-07-08,Check_Deposit,4256.01,Gas station,Young Ltd,,Online
TXN_9624743E,CUST_0009_ACC_1,2025-05-20,Check_Deposit,4108.73,Education payment,,,ATM
TXN_23FF5EAA,CUST_0009_ACC_1,2025-05-26,Direct_Deposit,748.0,Medical payment,,,Mobile
TXN_66ACB2D5,CUST_0009_ACC_1,2025-06-11,ACH_Debit,2170.12,Medical payment,,,Electronic
TXN_D50A599F,CUST_0009_ACC_1,2025-04-17,Check_Deposit,1638.57,Bill payment,,,ATM
TXN_3726A817,CUST_0009_ACC_1,2025-04-22,Debit_Purchase,1138.22,ATM withdrawal,Bates Group,,Electronic
TXN_52CCE380,CUST_0009_ACC_1,2025-02-28,Check_Deposit,3268.1,Mortgage payment,"Cruz, Middleton and Larsen",,Branch
TXN_9F5178AD,CUST_0009_ACC_1,2025-03-02,ACH_Credit,416.14,Insurance payment,,,Online
TXN_90171988,CUST_0009_ACC_1,2025-08-01,Direct_Deposit,2089.51,Utility bill,,,Mobile
TXN_CB36EDBF,CUST_0009_ACC_1,2025-06-03,Check_Deposit,4513.09,Bill payment,,Branch_Downtown_Main,ATM
TXN_6DA4506D,CUST_0009_ACC_1,2025-02-27,Online_Transfer,2259.07,Credit card payment,,,ATM
TXN_2F8A1BBA,CUST_0009_ACC_1,2025-02-15,Direct_Deposit,49.69,Education payment,,,Online
TXN_08500547,CUST_0009_ACC_1,2025-02-05,ATM_Withdrawal,3747.08,Rent payment,,,Online
TXN_294C862D,CUST_0009_ACC_1,2025-06-12,ACH_Debit,2503.39,Education payment,,,ATM
TXN_06F15485,CUST_0009_ACC_1,2025-05-01,Debit_Purchase,4349.72,Gas station,,,Branch
TXN_AA6B3F89,CUST_0009_ACC_1,2025-04-22,Direct_Deposit,1576.5,Gas station,Miller Ltd,,Mobile
TXN_08ED992F,CUST_0009_ACC_1,2025-06-28,Debit_Purchase,3805.99,Online purchase,,,Electronic
TXN_ABF637CD,CUST_0009_ACC_1,2025-07-07,ACH_Credit,1462.16,ATM withdrawal,"Munoz, Simmons and White",,Electronic
TXN_DD4AAA62,CUST_0010_ACC_1,2025-05-05,Debit_Purchase,1369.9,Credit card payment,,,Branch
TXN_951BE076,CUST_0010_ACC_1,2025-05-13,Wire_Transfer,3668.5,Restaurant,,,Electronic
TXN_F55F895F,CUST_0010_ACC_1,2025-04-25,Online_Transfer,1411.52,Rent payment,,,Electronic
TXN_2B3E466E,CUST_0010_ACC_1,2025-04-07,Online_Transfer,3443.14,Auto loan payment,,,Mobile
TXN_FB7CA59D,CUST_0010_ACC_1,2025-03-08,Direct_Deposit,16.09,Credit card payment,,,Mobile
TXN_8650BB01,CUST_0010_ACC_1,2025-05-22,Wire_Transfer,2355.1,Auto loan payment,,,Online
TXN_1256A014,CUST_0010_ACC_1,2025-05-18,ACH_Debit,122.64,Gas station,,,Mobile
TXN_E4FB6C43,CUST_0010_ACC_1,2025-07-05,Debit_Purchase,706.06,Insurance payment,Joseph LLC,,Mobile
TXN_4B19DA64,CUST_0010_ACC_1,2025-04-17,Direct_Deposit,4517.71,Bill payment,,,Branch
TXN_C08C11A5,CUST_0010_ACC_1,2025-05-12,Direct_Deposit,2138.46,Medical payment,Johnson-Johnson,,Mobile
TXN_8F69A8EE,CUST_0010_ACC_1,2025-04-30,Online_Transfer,3877.92,Auto loan payment,Wilson-Olson,,Electronic
TXN_ACEE4CF0,CUST_0010_ACC_1,2025-06-07,Wire_Transfer,650.91,Mortgage payment,,,ATM
TXN_F010D331,CUST_0010_ACC_1,2025-02-28,Check_Deposit,1561.24,Online purchase,"Fox, Villarreal and Christensen",Branch_Northgate_Mall,ATM
TXN_953C7300,CUST_0010_ACC_1,2025-03-25,Direct_Deposit,4742.75,Restaurant,,,Electronic
TXN_F36F836A,CUST_0010_ACC_1,2025-05-07,ACH_Debit,1951.64,Education payment,,Branch_Southpark_Ave,Online
TXN_942D24D2,CUST_0010_ACC_1,2025-05-08,Debit_Purchase,2155.21,Online purchase,"Davis, Kennedy and Harmon",,Branch
TXN_EB3A747D,CUST_0010_ACC_1,2025-07-25,Debit_Purchase,2888.82,Medical payment,Sutton PLC,Branch_Downtown_Main,Electronic
TXN_E0C3D200,CUST_0010_ACC_1,2025-06-26,Check_Deposit,1186.61,ATM withdrawal,,,Branch
TXN_FEEED6FA,CUST_0010_ACC_1,2025-03-31,ACH_Debit,857.08,ATM withdrawal,Berger PLC,Branch_Downtown_Main,ATM
TXN_ABB046C1,CUST_0010_ACC_1,2025-06-23,Debit_Purchase,3362.94,Restaurant,,,Online
TXN_DE94F0D8,CUST_0010_ACC_1,2025-04-28,ACH_Credit,1780.23,Gas station,,,Online
TXN_0C7C7761,CUST_0010_ACC_1,2025-05-06,Check_Deposit,1348.09,Salary deposit,Berry-Rivera,,ATM
TXN_53BC127B,CUST_0010_ACC_1,2025-04-07,Online_Transfer,2393.55,ATM withdrawal,Roberts-Johnson,,Online
TXN_B1D53BD4,CUST_0010_ACC_1,2025-07-19,Check_Deposit,4976.27,Grocery purchase,"Torres, Glover and Green",,Mobile
TXN_1A54C118,CUST_0010_ACC_1,2025-05-27,ACH_Credit,4575.57,Medical payment,,,ATM
TXN_E88BF655,CUST_0010_ACC_1,2025-05-18,ACH_Credit,677.5,Education payment,,,Electronic
TXN_685C7908,CUST_0010_ACC_1,2025-05-17,Check_Deposit,4125.93,Insurance payment,,,Branch
TXN_86F39574,CUST_0010_ACC_1,2025-06-01,ACH_Credit,277.88,Grocery purchase,,,Electronic
TXN_3EBFD9D8,CUST_0010_ACC_1,2025-03-27,Check_Deposit,721.02,Investment transfer,,,Electronic
TXN_A7E18858,CUST_0010_ACC_1,2025-06-15,ACH_Debit,2800.7,Restaurant,,Branch_Eastside_Center,Online
TXN_87914573,CUST_0010_ACC_1,2025-02-07,Check_Deposit,4508.35,ATM withdrawal,,,Online
TXN_B02069C0,CUST_0010_ACC_1,2025-05-01,ACH_Credit,3344.48,Bill payment,,,Online
TXN_76B36094,CUST_0010_ACC_1,2025-02-25,Direct_Deposit,3191.99,Credit card payment,,,Online
TXN_4A93CB8E,CUST_0010_ACC_1,2025-02-16,Direct_Deposit,2132.37,Credit card payment,,,Online
TXN_912D1F37,CUST_0010_ACC_1,2025-06-24,Online_Transfer,666.28,Utility bill,Anderson-Campbell,,Electronic
TXN_3B415BD1,CUST_0010_ACC_1,2025-07-07,Wire_Transfer,2852.19,Rent payment,Figueroa PLC,,Mobile
TXN_9FA2C0E0,CUST_0010_ACC_1,2025-03-06,ACH_Credit,4268.51,Mortgage payment,,,ATM
TXN_E1D4FE3E,CUST_0010_ACC_1,2025-05-20,ACH_Debit,105.93,Salary deposit,,,Electronic
TXN_4ADD844A,CUST_0010_ACC_1,2025-03-02,Debit_Purchase,1568.27,Online purchase,,Branch_Northgate_Mall,Mobile
